lse
227454, 1:,1063, 2:,1102, 3:,1092, 4:,1074, roll:,-0.084, pirch:,-0.016, yaw:,-0.099, 0.592, 0.445, -0.008Alt:,13.44,Integrators ON, , VERT_SPD_HOLD = false
227488, 1:,1051, 2:,1098, 3:,1102, 4:,1080, roll:,-0.142, pirch:,-0.066, yaw:,-0.085, 0.000, -0.000, -0.000Alt:,13.38,Integrators ON, , VERT_SPD_HOLD = false
227518, 1:,1054, 2:,1100, 3:,1100, 4:,1077, roll:,-0.173, pirch:,-0.105, yaw:,-0.059, 0.000, 0.000, 0.000Alt:,13.23,Integrators ON, , VERT_SPD_HOLD = false
227553, 1:,1062, 2:,1106, 3:,1095, 4:,1069, roll:,-0.177, pirch:,-0.139, yaw:,-0.024, 0.000, -0.000, 0.000Alt:,13.14,Integrators ON, , VERT_SPD_HOLD = false
227585, 1:,1067, 2:,1105, 3:,1093, 4:,1065, roll:,-0.146, pirch:,-0.166, yaw:,0.020, -0.283, 0.091, -0.255Alt:,13.12,Integrators ON, , VERT_SPD_HOLD = false
227616, 1:,1054, 2:,1090, 3:,1109, 4:,1079, roll:,-0.095, pirch:,-0.165, yaw:,0.051, -0.703, -0.082, -0.382Alt:,13.08,Integrators ON, , VERT_SPD_HOLD = false
227650, 1:,1043, 2:,1038, 3:,1124, 4:,1126, roll:,-0.023, pirch:,-0.146, yaw:,0.081, -0.000, -0.000, 0.000Alt:,13.13,Integrators ON, , VERT_SPD_HOLD = false
227683, 1:,1039, 2:,1017, 3:,1131, 4:,1144, roll:,0.069, pirch:,-0.112, yaw:,0.108, 0.000, 0.000, 0.000Alt:,12.97,Integrators ON, , VERT_SPD_HOLD = false
227713, 1:,1047, 2:,1041, 3:,1123, 4:,1121, roll:,0.171, pirch:,-0.071, yaw:,0.133, 0.000, 0.000, 0.000Alt:,12.84,Integrators ON, , VERT_SPD_HOLD = false
227746, 1:,1055, 2:,1044, 3:,1114, 4:,1117, roll:,0.305, pirch:,0.000, yaw:,0.154, -0.784, -0.449, -0.110Alt:,12.56,Integrators ON, , VERT_SPD_HOLD = false
